# step       rmse_trn    rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  52700      1.21e-04      1.21e-04    3.2e-06
  52800      1.21e-04      1.21e-04    3.2e-06
  52900      1.21e-04      1.21e-04    3.2e-06
  53000      1.21e-04      1.21e-04    3.2e-06
  53100      1.21e-04      1.21e-04    3.2e-06
  53200      1.21e-04      1.21e-04    3.2e-06
  53300      1.21e-04      1.21e-04    3.2e-06
  53400      1.21e-04      1.21e-04    3.2e-06
  53500      1.21e-04      1.21e-04    3.2e-06
  53600      1.21e-04      1.21e-04    3.2e-06
  53700      1.21e-04      1.21e-04    3.2e-06
  53800      1.21e-04      1.21e-04    3.2e-06
  53900      1.21e-04      1.21e-04    3.2e-06
  54000      1.21e-04      1.21e-04    3.2e-06
  54100      1.21e-04      1.21e-04    3.2e-06
  54200      1.21e-04      1.21e-04    3.2e-06
  54300      1.21e-04      1.21e-04    3.2e-06
  54400      1.21e-04      1.21e-04    3.2e-06
  54500      1.21e-04      1.21e-04    3.2e-06
  54600      1.21e-04      1.21e-04    3.2e-06
  54700      1.21e-04      1.21e-04    3.2e-06
  54800      1.21e-04      1.21e-04    3.2e-06
  54900      1.21e-04      1.21e-04    3.2e-06
